surname,name,year_birth,gender,legislature
Aggravi,Stefano,1985,M,"XV, XVI"
Agnesod,Gino,1952,M,"IX, X, XI"
Agostino,Salvatore,1948,M,XIII
Aillon,Pietro Antonio,1896,M,"II, III"
Albaney,Giuseppe,1929,M,"IV, V, VI"
Aloisi,Domenico,1947,M,"VIII, IX"
Aloisi,Giovanni,1951,M,"X, XI"
Andrione,Mario,1932,M,"III, IV, V, VI, VII, VIII, IX"
Arbaney,Flaviano,1888,M,"CLN, I, II"
Armand,Beniamino,1913,M,"CLN, I"
Artaz,Dotto Giuseppe,1917,M,IV
Baccega,Mauro,1955,M,"XIV, XV, XVI"
Bajocco,Igino,1930,M,"VII, VIII, IX"
Baldassarre,Gaetano,1940,M,VIII
Balestri,Francesco,1914,M,"IV, V"
Bancod,Beniamino,1915,M,"V, VI"
Bareux,Edoardo,1899,M,I
Barmasse,Michele,1888,M,II
Barmasse,Roberto Alessandro,1959,M,XVI
Barmaz,Michele,1910,M,IV
Barocco,Giovanni,1961,M,XV
Barone,Luigi,1916,M,"II, III, IV"
Bavastro,Marco,1949,M,X
Beneforti,Valerio,1932,M,"VIII, IX, XI"
Benetti,Alfonso,1910,M,II
Benin,Anacleto,1948,M,XIII
Benzo,Carlo,1924,M,"IV, V, VI"
Berthet,Amato,1913,M,"I, II, III, IV"
Berthod,Edoardo,1902,M,I
Berthod,Luigi Felice,1903,M,"II, III"
Berti,Vigilio,1944,M,"VII, VIII"
Bertin,Alberto,1966,M,"XIII, XIV, XV, XVI"
Berton,Luigi,1912,M,I
Bertschy,Luigi Giovanni,1965,M,"XIV, XV, XVI"
Bianchi,Luca,1967,M,"XIV, XV"
Bich,Edoardo,1940,M,"IX, X"
Bieler,Mauro,1968,M,XIII
Binel,Lino,1904,M,CLN
Bionaz,Augusto,1936,M,"X, XI"
Bionaz,Cesare,1969,M,"IV, V"
Bionaz,Giuseppe Ferdinando,1902,M,"CLN, I, II"
Blanc,Cirillo,1931,M,VI
Bondaz,Giovanni,1936,M,"VI, VIII, IX"
Bondaz,Vittorino,1905,M,"CLN, I, II, III"
Bonichon,Giuseppe,1918,M,IV
Borbey,Cesare,1906,M,IV
Borbey,Giuseppe,1939,M,"VI, VII, VIII"
Bordon,Mauro,1914,M,"II, III, IV, V, VI, VII"
Borre,Fedele,1946,M,"X, XI, XII"
Borrel Tubère,Gilda,1908,F,V
Borrello,Stefano,1977,M,"XIV, XV"
Bortot,Alessandro,1943,M,XII
